ID,amount,Interest_rate_spread,loan_limit,loan_purpose,property_value,income,Gender,business_or_commercial,default
127451,266500,0.6664,cf,p3,518000,5760,Non-binary,nob/c,0
47873,456500,0.8255,cf,p1,478000,4920,Male,b/c,0
143258,216500,,cf,no info,218000,,Male,b/c,1
82415,856500,0.3007,ncf,p1,1108000,12360,Non-binary,nob/c,0
146580,116500,,ncf,p3,,4860,Male,nob/c,1
71693,396500,,ncf,p3,498000,8340,Non-binary,nob/c,1
42255,266500,0.1163,cf,no info,278000,,Male,b/c,0
27164,406500,0.1771,cf,no info,628000,9180,Non-binary,nob/c,0
56320,126500,1.781,cf,p3,178000,6060,Female,b/c,0
162459,296500,0.3171,cf,no info,378000,5400,Male,nob/c,0
141503,216500,1.6764,cf,p3,308000,11220,Male,b/c,0
146736,216500,,cf,p1,368000,2460,Male,nob/c,1
82357,56500,1.0984,cf,p1,68000,6660,Male,nob/c,0
142192,256500,0.2487,cf,no info,358000,4860,Female,nob/c,0
35244,496500,0.2515,cf,no info,678000,11400,Non-binary,nob/c,0
50097,86500,1.182,cf,p2,528000,7320,Non-binary,nob/c,0
34911,206500,,cf,no info,268000,7020,Sex Not Available,nob/c,1
73959,166500,,cf,p3,188000,4200,Female,b/c,1
144981,656500,0.462,cf,p1,658000,10020,Male,nob/c,0
138905,506500,-0.082,cf,no info,708000,12000,Non-binary,nob/c,0
156260,606500,0.9817,cf,p2,858000,8880,Male,nob/c,0
102841,256500,0.8661,cf,p3,358000,4560,Female,nob/c,0
137130,126500,0.9128,cf,p3,188000,3960,Female,nob/c,0
107757,116500,0.959,cf,no info,168000,1860,Female,nob/c,0
106821,616500,-0.3272,cf,no info,638000,,Non-binary,nob/c,0
160549,486500,,cf,p3,658000,5100,Male,nob/c,1
58624,366500,,cf,p3,508000,5400,Sex Not Available,nob/c,1
118632,276500,,cf,p1,278000,4980,Sex Not Available,b/c,1
33402,226500,1.4721,cf,p1,258000,3720,Male,nob/c,0
37315,206500,0.4712,cf,p3,658000,6660,Non-binary,nob/c,0
113218,256500,0.7116,cf,no info,348000,4800,Female,nob/c,0
145770,156500,0.5863,cf,no info,238000,4320,Non-binary,nob/c,0
158468,386500,0.449,cf,no info,498000,8460,Non-binary,nob/c,0
36718,206500,,cf,p1,468000,2280,Male,nob/c,1
157415,346500,,cf,p3,378000,3660,Male,nob/c,1
151372,106500,0.9837,cf,p3,128000,3540,Sex Not Available,b/c,0
112899,116500,1.3388,cf,p2,1708000,12060,Sex Not Available,nob/c,0
119210,246500,-0.1677,cf,p3,658000,2340,Male,nob/c,0
40946,426500,,cf,no info,,6060,Non-binary,nob/c,1
44293,236500,0.4787,cf,no info,238000,,Male,nob/c,0
79146,146500,0.7394,cf,no info,168000,3360,Female,nob/c,0
167568,226500,0.9827,cf,p3,268000,3360,Female,nob/c,0
171685,626500,0.4278,cf,no info,728000,7860,Non-binary,nob/c,0
77577,376500,1.0883,cf,p3,498000,9120,Sex Not Available,nob/c,0
94866,326500,-0.298,cf,no info,478000,,Female,nob/c,0
125291,636500,0.2195,cf,p1,798000,7260,Female,nob/c,0
150775,426500,,cf,no info,838000,9540,Male,nob/c,1
25888,176500,1.2598,cf,p3,208000,2580,Female,b/c,0
35559,326500,0.1931,cf,p3,518000,6000,Female,nob/c,0
37040,546500,,cf,no info,,0,Sex Not Available,nob/c,1
120155,236500,0.2013,cf,p1,298000,13020,Non-binary,nob/c,0
35148,126500,,cf,p3,168000,5160,Sex Not Available,nob/c,1
71349,336500,,cf,no info,918000,2880,Female,nob/c,1
